name,age,sex,month,day,death
1 Juan Vergara,20,m,1,1,
2 Maria Rios,13,f,1,2,
3 Pedro Araya,24,m,1,2,
4 Jose Vega,25,m,1,2,
5 Alejandra Mora,65,f,1,3,
6 Daniel Rosales,24,m,1,3,
7 Ricardo Leiva,72,m,1,3,
8 Alicia Carrasco,34,f,1,3,
9 Pedro Fuentes,12,m,1,4,
10 Daniela Delgado,15,f,1,4,
11 Tomas Alemparte,3,m,1,4,
12 Daniel Gonzalves,2,m,1,5,
13 Jose Fuentes,36,m,1,5,
14 Mercedes Lira,64,f,1,5,
15 Pablo Leiva,4,m,1,6,
16 Lily Pons,27,f,1,6,
17 Juana Aliste,6,f,1,7,
18 Mario Rosales,3,m,1,7,
19 Isabel Araya,52,f,1,8,
20 Aldo Mora,8,m,1,8,
21 Hector Navarro,32,m,1,8,
22 Denisse Ramirez,6,f,1,8,
23 Monica Diaz,31,f,1,8,
24 Claudia Carrasco,64,f,1,9,
25 Orlando Brito,4,m,1,9,
26 Juan Vergara,35,m,1,10,
27 Maria Rios,74,f,1,10,
28 Pedro Araya,43,m,1,11,
29 Jose Vega,12,m,1,12,
30 Alejandra Mora,42,f,1,12,
31 Daniel Rosales,53,m,1,13,
32 Ricardo Leiva,23,m,1,14,
33 Alicia Carrasco,7,f,1,14,
34 Pedro Fuentes,9,m,1,16,
35 Daniela Delgado,21,f,1,16,
36 Tomas Alemparte,23,m,1,16,
37 Daniel Gonzalves,67,m,1,16,
38 Jose Fuentes,5,m,1,16,
39 Mercedes Lira,8,f,1,16,
40 Pablo Leiva,11,m,1,16,
41 Lily Pons,8,f,1,17,
42 Juana Aliste,13,f,1,17,
43 Mario Rosales,42,m,1,18,
44 Isabel Araya,12,f,1,19,
45 Aldo Mora,32,m,1,19,
46 Hector Navarro,8,m,1,20,
47 Denisse Ramirez,43,f,1,21,
48 Monica Diaz,19,f,1,21,
49 Claudia Carrasco,32,f,1,21,
50 Orlando Brito,7,m,1,22,
51 Maria Rios,74,f,1,23,
52 Pedro Araya,43,m,1,23,
53 Jose Vega,12,m,1,23,
54 Monica Rojas,31,f,1,23,
55 Claudia Carrasco,64,f,1,23,
56 Orlando Brito,4,m,1,23,
57 Juan Vergara,35,m,1,23,
58 Maria Rosas,74,f,1,23,
59 Pedro Araya,43,m,1,24,
60 Monica Davalos,31,f,1,24,
61 Elisa Carrasco,64,f,1,25,
62 Erica Aliste,13,f,1,25,
63 Horacio Rosales,42,m,1,25,
64 Heidi Araya,12,f,1,26,
65 Leo Mora,32,m,1,26,
66 Esteban Vergara,20,m,1,27,
67 Maria Ramos,13,f,1,27,
68 Carlos Araya,24,m,1,28,
69 Jorge Vega,25,m,1,28,
70 Felicia Diaz,31,f,1,28,
71 Antonia Carrasco,64,f,1,28,
72 Orlando Corcega,4,m,1,28,
73 Eduardo Vergara,35,m,1,29,
74 Liliana Rios,74,f,1,31,
75 Ariel Bustamante,43,m,1,31,
